title,rating,critics_consensus,synopsis,cast,director
Beetlejuice Beetlejuice (2024), 77%,"Critics Consensus: Michael Keaton's devious poltergeist still has plenty of juice left in this madcap return to form for Tim Burton, marrying charming practical effects and ghoulish gags to provide a fun fun time.","Synopsis: Beetlejuice is back! After an unexpected family tragedy, three generations of the Deetz family return home to Winter River. Still... [More]","Starring: Michael Keaton, Winona Ryder, Catherine O'Hara, Jenna Ortega",Directed By: Tim Burton
Joker: Folie à Deux (2024),  63%,Critics Consensus: No consensus yet.,"Synopsis: ""Joker: Folie à Deux"" finds Arthur Fleck institutionalized at Arkham awaiting trial for his crimes as Joker. While struggling with... [More]","Starring: Joaquin Phoenix, Lady Gaga, Zazie Beetz, Brendan Gleeson",Directed By: Todd Phillips
Reagan (2024),  18%,"Critics Consensus: While Reagan the movie undoubtedly admires Reagan the man, its cloying and glossy rendering of history flattens the 40th U.S. President into caricature.","Synopsis: From dusty small-town roots, to the glitter of Hollywood, and then on to commanding the world stage, REAGAN is a... [More]","Starring: Dennis Quaid, Penelope Ann Miller, Jon Voight, Kevin Dillon",Directed By: Sean McNamara
The Deliverance (2024),  33%,"Critics Consensus: Lee Daniels' foray into horror works best when it leans into his melodramatic preoccupations, but it fails to deliver the exorcism goods.","Synopsis: Ebony Jackson, a struggling single mother fighting her personal demons, moves her family into a new home for a fresh... [More]","Starring: Andra Day, Glenn Close, Anthony B. Jenkins, Caleb McLaughlin",Directed By: Lee Daniels
Rebel Ridge (2024),  95%,"Critics Consensus: An intelligent and gripping vehicle for Aaron Pierre's star-making performance, Rebel Ridge lays down the law on its action-thriller contemporaries.",Synopsis: Terry Richmond enters the town of Shelby Springs on a simple but urgent mission-- post bail for his cousin and... [More],"Starring: Aaron Pierre, Don Johnson, AnnaSophia Robb, David Denman",Directed By: Jeremy Saulnier
Longlegs (2024),  85%,"Critics Consensus: Saturated in disquieting mood while leveraging a nightmarishly gonzo performance by Nicolas Cage, Longlegs is a satanic horror that effectively instills panic.","Synopsis: In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to... [More]","Starring: Maika Monroe, Nicolas Cage, Blair Underwood, Alicia Witt",Directed By: Oz Perkins
Alien: Romulus (2024),  80%,"Critics Consensus: Honoring its nightmarish predecessors while chestbursting at the seams with new frights of its own, Romulus injects some fresh acid blood into one of cinema's great horror franchises.","Synopsis: While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face... [More]","Starring: Cailee Spaeny, David Jonsson, Archie Renaux, Isabela Merced",Directed By: Fede Alvarez
Blink Twice (2024),  74%,"Critics Consensus: A bold and memorable debut that thrusts Zoë Kravitz into the turf of directors to watch, Blink Twice is a live wire of a film.","Synopsis: When tech billionaire Slater King (Channing Tatum) meets cocktail waitress Frida (Naomi Ackie) at his fundraising gala, sparks fly. He... [More]","Starring: Naomi Ackie, Channing Tatum, Christian Slater, Simon Rex",Directed By: Zoë Kravitz
Trap (2024),  57%,"Critics Consensus: An arch thriller given some grounding by Josh Hartnett's committed performance, Shyamalan's Trap will ensnare those who appreciate its tongue-in-cheek style while the rest will be eager to wriggle out from it.","Synopsis: A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and... [More]","Starring: Josh Hartnett, Ariel Donoghue, Saleka Shyamalan, Hayley Mills",Directed By: M. Night Shyamalan
Oddity (2024),  96%,"Critics Consensus: An elegant and spooky ghost story punctuated with clever jolts, Oddity hews to the fundamentals of fright and achieves shout-inducing results.","Synopsis: When Dani is brutally murdered at the remote country house that she and her husband Ted are renovating, everyone suspects... [More]","Starring: Gwilym Lee, Carolyn Bracken, Tadhg Murphy, Caroline Menton",Directed By: Damian McCarthy
